,article_name,content,enumeration_in_article,file_id,language_code
10,Enhance medicine using AI,"AI faces some significant data challenges, such as the data's scale, growth, diversity, and uncertainty. The data sets available for drug development in pharmaceutical companies can involve millions of compounds, and traditional ML tools might not be able to deal with these types of data. In addition, access to data from various database providers can incur extra costs to a company. The data should also be reliable and high quality to ensure accurate result prediction.",10,0,en
11,Enhance medicine using AI,"Other challenges that prevent full-fledged adoption of AI in the pharmaceutical industry include the lack of skilled personnel to operate AI-based platforms, limited budget for small organizations, apprehension of replacing humans leading to job loss, skepticism about the data generated by AI, and the black box phenomenon (i.e., how the AI platform reaches the conclusions)[4].",11,0,en
12,Enhance medicine using AI,"In spite of all the previously listed challenges, Artificial Intelligence will transform the world in the coming years. If we want to prepare, we have to endure each of these problems. Fortunately, AI is not stopping us from finding solutions and answers to different problems. If we look forward to the future, new tools, such as Quantum Computing, will be available to develop chemical simulations [6]. If you are looking to enhance some processes in the pharmaceutical industry with AI help, don't hesitate to contact us!",12,0,en
13,La inteligencia artificial en beneficio a la humanidad,"Todos tenemos una opinión frente a lo que es inteligencia artificial (en este blog, lo llamaremos AI). El cine y la televisión, como medios de comunicación masiva, nos ha empapado de historias y personajes relacionados a esta y han construido todo un imaginario frente al tema. Así, podemos tomar como ejemplo el universo cinematográfico de Marvel Studios en el cual nos presenta, por un lado, inteligencias artificiales como Visión, superhéroe cuya mente posee los restos de Jarvis, el asistente personal virtual de Tony Stark, y su contraparte infame Ultrón, robot cuyo objetivo es exterminar la raza humana.",0,1,es
14,La inteligencia artificial en beneficio a la humanidad,"En contraste, dentro de nuestra realidad, podemos pensar en sistemas de AI tales como lo son Siri o Alexa, presentes primordialmente en nuestros celulares para asistirnos, o las controversiales cámaras de reconocimiento facial implementadas en china, cuyo uso generó revueltas en Hong Kong por sentir que este tipo de tecnologías pueden llegar a vulnerar la privacidad de la población.",1,1,es
15,La inteligencia artificial en beneficio a la humanidad,"Con esto en mente, junto a nuestro  nos dimos la tarea de preguntarle a nuestros clientes, amigos y hasta familiares su opinión frente a esta tecnología. Si bien, muchas de las opiniones recalcaban ventajas como agilizar procesos, disminuir errores o procesar grandes cantidades de datos, de igual manera hacían énfasis en que esta tecnología competía, desplazaba y reemplazaba al ser humano, dejándonos a merced de esta sin ningún control. Debido a esto, me parece pertinente que nos preguntemos: ¿Está la Inteligencia artificial en beneficio a la humanidad? Antes de dar una respuesta a esta incógnita, debemos conocer un poco a nuestro sujeto de estudio.",2,1,es
16,La inteligencia artificial en beneficio a la humanidad,"En las ciencias de la computación, la AI es la capacidad de una máquina de tener facultades cognitivas semejantes las de un ser vivo, especialmente a las del ser humano. Según ,  que lleva décadas trabajando en esta área, lo define como la simulación del pensamiento humano a través de modelos computarizados, los cuales le permiten entender, razonar, aprender e interactuar a través del uso de datos. Sin embargo, aunque las máquinas tengan estas facultades cognitivas, ellas realmente no pueden igualar en su totalidad a las de un ser humano. Asimismo, según l, el término AI podemos clasificarlo en 3 tipos: Débil, general, y fuerte.",3,1,es
17,La inteligencia artificial en beneficio a la humanidad,"La inteligencia artificial débil (weak AI o Narrow AI en inglés), es una AI que lleva a cabo tareas totalmente específicas como jugar , dar recomendaciones como lo hace Netflix o poder hablar y dictarle comandos a nuestro celular a través de Siri. La inteligencia artificial general (AGI por sus siglas en inglés), es capaz de tener facultades cognitivas al mismo nivel que un ser humano, por lo que podría tener emociones y llevar relaciones.",4,1,es
18,La inteligencia artificial en beneficio a la humanidad,"Y, finalmente, una inteligencia artificial fuerte (ASI por sus siglas en inglés), es capaz de sobrepasar en todo sentido las capacidades de un ser humano. Por lo tanto, y a pesar de que en los últimos años hemos tenido grandes avances dentro de esta área, es claro que seguimos desarrollando AI débiles.",5,1,es
19,La inteligencia artificial en beneficio a la humanidad,"No obstante, ya hemos comprobado, para bien o para mal, el impacto que puede tener esta tecnología en nuestra sociedad. Por un lado, en el año 2014, la compañía estadounidense  desplegó una AI encargada de llevar a cabo el proceso de reclutamiento y contratación de la empresa con el fin de automatizar y optimizar recursos dentro del proceso. Sin embargo, un año más tarde, el equipo se dio cuenta que esta AI tenía  a la hora de seleccionar los aspirantes, pues castigaba aquellas hojas de vida de mujeres y premiaba al de hombres. Otro ejemplo podemos encontrarlo en el documental Coded Bias, la cual expone que esta tecnología puede llegar a ser sexista, racista y opresora si no se entrena y desarrolla de manera correcta.",6,1,es
20,La inteligencia artificial en beneficio a la humanidad,"Por otro lado, tenemos los casos en los que los coches de la marca , los cuales cuentan con un sistema AI de piloto automático, se han visto envueltos en graves accidentes debido al mal uso de este sistema ya que se ha demostrado que estos sistemas no son capaces de responder eficientemente a las condiciones normales necesarias para una conducción real. Por ende, si estas AI débiles están teniendo un impacto adverso para el ser humano, ¿por qué continuar usando esta tecnología? ¿qué mundo distópico nos espera cuando lleguen las AI fuertes?",7,1,es
21,La inteligencia artificial en beneficio a la humanidad,"En el caso de Amazon, el equipo técnico y los diseñadores que construyeron esta AI debieron tener en cuenta qué partes de todo este proceso se podían automatizar, dónde intervenía el ser humano y no dejar que la máquina sea quien tome la decisión y defina quien debe ser contratado y quien no. Aun así, el equipo debió tener un entendimiento del contexto, ya que los datos con los que entrenaron a este sistema eran datos que demostraban el sesgo y la preferencia de contratación desigual en género que Amazon desde el 2014 quería empezar a combatir. Por otro lado, Josh Lovejoy en su artículo  describe los alcances actuales de la AI como “esenciales pero insuficientes por sí solas”, puesto que a las AI son una tecnología que tiene un aprendizaje similar a la de un niño. ¿Le daríamos total control a un niño para que maneje nuestros vehículos en las calles de nuestra ciudad? Esto nos lleva al caso de tesla, donde la falta de entendimiento de los usuarios hacia los alcances de esta tecnología, el poco análisis y prevención del comportamiento adverso que tendrían los clientes fue lo que ha ocasionado los graves accidentes que, en algunos casos, han causado muertes.",8,1,es
22,La inteligencia artificial en beneficio a la humanidad,"Repasando estos y otros casos de AI adversas se percibe levemente la falta de un componente que, de haberse tenido en cuenta, hubiesen tenido un mejor impacto: diseño centrado en el ser humano.",9,1,es
23,La inteligencia artificial en beneficio a la humanidad,"Si bien, los sistemas de AI han ganado popularidad abriendo las puertas a las distintas industrias de conocer a fondo a sus clientes, tener una mayor capacidad de análisis de estos para captar y mantenerlos, ¿Está la Inteligencia artificial en beneficio a la humanidad de  los clientes, usuarios, seres humanos? Como lo describió mi compañero Manuel en su blog titulado , el uso de metodologías de diseño centrado en el humano permite abordar problemas complejos y que respondan a la pregunta: ¿cómo podemos hacer del mundo un lugar mejor? A través de esta podemos desarrollar inteligencia artificial en beneficio a la humanidad, con propósito humano y que trasciende de la perspectiva simple de negocio.",10,1,es
24,La inteligencia artificial en beneficio a la humanidad,"Usar esta metodología abre los ojos de quienes participan en el desarrollo de sistemas de AI donde, por un lado, nos hace conscientes para discernir cuándo interviene una AI, cuándo un ser humano, o cuándo deben colaborar ambos; y, por otro lado, permite planear y prevenir los posibles impactos éticos, morales, sociales, culturales y económicos que puede llegar a tener dentro y fuera de quienes usarán la AI.",11,1,es
25,La inteligencia artificial en beneficio a la humanidad,"Dentro de , nuestro grupo de AI, promovemos la colaboración equilibrada entre el humano y la máquina, la cual tiene como resultado no solo la automatización de tareas repetitivas, peligrosas o poco agradables para las personas, sino que pretende aumentar y potenciar nuestras capacidades humanas. Wildlife Insights es un proyecto que ejemplifica estos valores. Esta es  en la que investigadores pueden monitorear, analizar y compartir datos en tiempo real sobre el estado de la vida silvestre a nivel global. Esta usa trampas y sensores para adquirir datos y usan AI para clasificar los distintos animales encontrados dentro miles de fotos, permitiendo a los científicos concentrar sus esfuerzos en planear y tomar acción para la conservación de los ecosistemas a nivel global. Otro ejemplo por destacar es , una plataforma creada por investigadores de  que proporciona análisis de radiografías al instante, indicando al usuario qué enfermedad ha detectado, en qué área concentra su predicción y con qué porcentaje de confiabilidad presenta su análisis.",12,1,es
26,La inteligencia artificial en beneficio a la humanidad,"El propósito de este blog era ir más allá de explicar o mostrar ejemplos de cómo con AI podemos captar y analizar a profundidad las dinámicas entre el cliente y nuestro negocio. Más bien, es una invitación a nuestros pares dentro de la industria y clientes que no debemos construir AI sin un sentido, o por moda. Quiero resaltar la importancia de construir AI con propósito y responsabilidad, manteniendo siempre el componente humano en mente. Finalmente, ¿Está la Inteligencia artificial en beneficio a la humanidad? Solo si desde ahora construimos nuestro futuro con responsabilidad.",13,1,es
27,La inteligencia artificial en beneficio a la humanidad,"IBM Design for AI. (s. f.). Recuperado 18 de abril de 2021, de",14,1,es
28,La inteligencia artificial en beneficio a la humanidad,"(s. f.). IBM100 – Deep Blue. Recuperado 18 de abril de 2021, de",15,1,es
29,La inteligencia artificial en beneficio a la humanidad,"India, S. (2019, 5 noviembre). How Netflix’s Recommendation Engine Works? – Springboard India. Medium. .",16,1,es
30,La inteligencia artificial en beneficio a la humanidad,"Saini, K. (2021, 4 febrero). Natural Language Processing ft. Siri – MyTake. .",17,1,es
31,La inteligencia artificial en beneficio a la humanidad,"BBC News Mundo. (2018, 11 octubre). El algoritmo de Amazon al que no le gustan las mujeres.",18,1,es
32,La inteligencia artificial en beneficio a la humanidad,"Bogen, M. (2019, 15 octubre). All the Ways Hiring Algorithms Can Introduce Bias. Harvard Business Review.",19,1,es
33,La inteligencia artificial en beneficio a la humanidad,"Kantayya, S. (productor) y Kantayya, S. (director). (2020). Coded Bias [Documental]. EU.: 7th Empire Media.",20,1,es
34,La inteligencia artificial en beneficio a la humanidad,"Kolodny, L. (2021, 19 abril). «No one was driving» in Tesla crash that killed two men in Spring, Texas, report says.",21,1,es
35,La inteligencia artificial en beneficio a la humanidad,"Lovejoy, J. (2021, 22 enero). When are we going to start designing AI with purpose?",22,1,es
36,La inteligencia artificial en beneficio a la humanidad,"Ortiz, M. (2021, 8 abril). Impacto del Design Thinking en las diferentes industrias – HOLISTIC – Design Lab. Holistic Design Lab.",23,1,es
37,La inteligencia artificial en beneficio a la humanidad,"Wildlife Insights. (s. f.). Wildlife Insights. Recuperado 18 de abril de 2021, de",24,1,es
38,La inteligencia artificial en beneficio a la humanidad,"Conservation International. (s. f.). Wildlife Insights. Recuperado 18 de abril de 2021, de",25,1,es
39,La inteligencia artificial en beneficio a la humanidad,"(productor) y Wolff, T. & Yogeshwar, R. (directores). (2019). ¿De qué es capaz la inteligencia artificial? [Documental]. Alemania.: DW.",26,1,es
40,Artificial neural networks vs human brain,"It's fascinating how our understanding of how the brain works have influenced the creation of AI. However, despite being historically inspired by our human brain, AI has always been designed to function differently from us. It's like the difference between a bird and an airplane - both can fly, but they do it in their own unique ways.",0,2,en
41,Artificial neural networks vs human brain,"Natural learning is our innate mental process for acquiring knowledge and skills, facilitated by the neural architecture and function of our brain.",1,2,en
42,Artificial neural networks vs human brain,The differences in the structure and processing abilities of our brains and artificial intelligence systems result in significant differences in functionality between humans and AIs.,2,2,en
43,Artificial neural networks vs human brain,"Despite their differences, natural thinking and AI can complement each other.",3,2,en
44,Artificial neural networks vs human brain,"Have you ever stopped to wonder how we learn? As a scientist, I find this absolutely fascinating. Every single thought and action we have ever made is controlled by one of the most incredible organs in our bodies - the brain. And what's even more mind-blowing is that all of humankind's greatest achievements throughout history are based on the simple, yet complex, process of learning. Observing recent history, one of these astonishing breakthroughs has been artificial intelligence (AI).",4,2,en
45,Artificial neural networks vs human brain,"We've been able to create some seriously impressive AI entities that can do everything from recreating images and videos to playing games and even having full-on conversations with us! When you consider what we can do with our own brains, it is astounding. The real question is whether or not these machines are thinking. If so, exactly how do they accomplish it? This article will investigate the interesting field of artificial intelligence while contrasting human thought processes with those of these incredible artificial entities.",5,2,en
46,Artificial neural networks vs human brain,"""I think; therefore, I am."" Rene Descartes. With this simple phrase, this philosopher was able to capture the essence of the power of our thoughts. Basically, our ability to think is what makes us who we are - it's what drives us to do the things we do, feel the way we feel, and connect with others. In other words, everything we are and everything we do starts with that one little thought in our head! It's pretty incredible when you stop to think about it.",6,2,en
47,Artificial neural networks vs human brain,"Although there are various ways for us to learn, natural learning is one of the most amazing. It could be interpreted as the mental mechanism we employ to pick up information and abilities without a conscious effort. It allows us to learn new abilities and reach new conclusions by letting us apply our mental abilities such as problem-solving, critical thinking, and decision-making. It also includes various cognitive skills such as perception, attention, memory, and language processing [1].",7,2,en
48,Artificial neural networks vs human brain,"From a biological perspective, our unique ability to think is all thanks to how our neurons interact in our brains. Each neuron is made up of three basic parts, a cell body, where the genetic material is stored, and two extensions, an axon, and a dendrite, that work together to transmit and receive chemical signals throughout neurons by a process called the synapse (fig. 1). The aggregation of millions of neurons is what we recognize today as a natural neural network (NNN) [2]. Around the 1950´s the study of natural learning, cognition, and brain architecture brought up another interesting idea, can we mimic natural learning with an artificial approach?",8,2,en
49,Artificial neural networks vs human brain,Fig 1. Synapse process and neuron architecture in the human brain. Made by Catherine Cabrera,9,2,en
50,Artificial neural networks vs human brain,"Many thinkers throughout history, like René Descartes and John Locke, have debated the central issue of the connection between the body and the intellect, laying the groundwork for the development of cognitive science [3]. But the field of artificial intelligence didn't start to take shape until the middle of the 20th century, with the invention of perceptons. They were designed to mimic the structure and functionality of natural neurons in order to create simple machines that could solve classification problems (Fig. 2). People were quite excited about this technology as they envisioned all of the amazing possible uses it might have. For example, when the Navy was working on a perceptron technology-based electronic computer in 1958, according to a New York Times article, it would not only be able to walk, talk, and see, but also write, reproduce, and be aware of its own existence [4].",10,2,en
51,Artificial neural networks vs human brain,"And while perceptons were able to take inputs, process them, and produce outputs, their limited application was soon revealed when they failed to solve non-linear problems like XOR functions [5]. It was then that the tantalizing question arose: if we can mimic a single neuron, could we mimic an entire neural network? The relationship between the brain and intelligence sparked a whole new era of exploration, leading to the incredible advancements in AI that we see today. Initially, artificial neural networks (ANN) were made by joining multiple layers of single perceptrons, becoming able to solve pattern recognition problems, however, two obstacles arise; training these networks was not cheap in terms of computational cost and the binary answer (0 or 1) perceptons manage, limit the problems these neural networks can solve [4].",11,2,en
52,Artificial neural networks vs human brain,"Thankfully, we have overcome these obstacles and now we can design great artificial intelligence entities like ChatGTP, Midjourney, You, Dalle-2, and others. This accomplishment was achieved with the creation of new technologies and ground-breaking theories that have completely changed the architecture and processing abilities of artificial neural networks. For instance, recurrence, or feedback information processes were added to neural networks, which was a significant advance in this area and resulted in the creation of recurrent neural networks (RNNs) (fig. 3). The instauration of this concept in ANNs generated that these networks start to diverge from natural neural networks, as we don't have this process instaurated in our brain. Just consider that in the synapse process, the signal direction is one-way oriented [2].",12,2,en
53,Artificial neural networks vs human brain,"However, thanks to these adaptations, we can now execute a variety of tasks, such as test prediction tasks and language synthesis. Nonetheless, RNNs have certain drawbacks too, such as poor short-term memory and challenging learning curves. Long Short-Term Memory Networks (LSTMs) were developed to address these issues, and they have completely changed the game by enabling RNNs to expand their memory and carry out jobs that need long-term memory (fig. 3). In a more recent story, convolutional neural networks (CNNs), a three-dimensional configuration of artificial neurons, had been created for increasingly more difficult tasks. These networks are primarily employed for activities related to computer vision analog to those you can carry out using your own eyesight (fig. 3) [5].",13,2,en
54,Artificial neural networks vs human brain,"Fig 3. The architecture of different neural networks. A. Structures of ANN, RNN, and LSTM. Made by Catherine Cabrera. B.  CNN basic structure, from   A-B",14,2,en
55,Artificial neural networks vs human brain,"It's fascinating how our understanding of how the brain works have influenced the creation of AI. However, despite being historically inspired by our human brain, AI has always been designed to function differently from us. It's like the difference between a bird and an airplane - both can fly, but they do it in their own unique ways. Similarly, AI has its unique way of processing information and making decisions, which sets it apart from our own thought processes. Specifically, AI development has been a data-centric approach, meaning that besides combining science and technology to develop these machines, we have to give data to these AIs in order to teach them how to “see”. For example, just like a biological neuron has dendrites to receive signals, a cell body to process them, and an axon to convey messages to other neurons, for a single perceptron to make a prediction, input channels, a processing stage, and one output channel are necessary to understand data (fig. 2). In our case, the signals we receive are stimuli from the outside world, which we later on convert into chemical signals the brain can process. For AI, data is this entry signal they need in order to function [1,6].",15,2,en
56,Artificial neural networks vs human brain,"Nowadays, both fear and curiosity about new AIs technologies cause a typical misconception about the strengths and limitations they have. For instance, observing an AI generating new images from plain text, resuming huge amounts of information, and creating videos, all this in seconds, is scary, basically because we ourselves are not capable of this. But, did you know that you, or even a kid, can probably win in Tic-Tac-Toe against some of the most amazing AIs? And even though artificial neural networks were inspired by the function of our brain, making them somehow similar in concept, important differences in structure and processing capacities cause significant divergence in the functionality they have, as shown in the table below.",16,2,en
57,Artificial neural networks vs human brain,"Table 1. Comparison between natural neural networks and artificial neural networks. Made in Canva [4, 7].",17,2,en
58,Artificial neural networks vs human brain,"From the information exposed before, we can observe that there are some huge differences between NNN and ANN, including size, flexibility, and power efficiency among others. However, comparing just vague numbers or specific aspects isn't enough for understanding the whole picture, as learning is a process that goes beyond the sum of these aspects.",18,2,en
59,Artificial neural networks vs human brain,"To give an example, have you ever considered how distinct machines are from people in terms of how they perceive and interpret the world around them? It's similar to equating wisdom with knowledge. Despite having a vast quantity of knowledge in its memory, AI lacks the wisdom to evaluate tricky circumstances that we humans can handle with ease. For instance, it may be simple for us to identify a fuzzy image of an animal, but it may be difficult for an AI system to do so because of the rigid training parameters that are used to create them [8]. Hence, the next time you're in awe of AIs' incredible talents, remember that there are some things that only humans are capable of doing.",19,2,en
60,Artificial neural networks vs human brain,"Exploring this idea, AI's are recognized for performing specific tasks with ease, but, did you know that our ability to multitask is one of the things that makes our brains so incredible? Our ability to multitask is due to the asynchronous and parallel nature of our neurons. Regrettably, artificial intelligence (AI) can't completely match our abilities in this regard because their artificial neuron layers are frequently fully connected. Artificial neurons need weights of zero to represent a lack of connections, in contrast to biological neurons, which are small-world in nature and can have fewer connections between them [2,4,7]. It just goes to show that while artificial intelligence has made great strides, nature still excels at some tasks better than even the most sophisticated machinery! Even more, the strict parameters used to build AIs and their data dependencies make them extremely vulnerable to any software or hardware malfunction. In comparison, even if a segment of our brain gets any damage, it could still function, keeping us alive!",20,2,en
61,Artificial neural networks vs human brain,"Despite their differences, natural thinking and AI can complement each other in many ways. For example, AI systems can be used to help human decision-making by providing insights and predictions based on large amounts of data. In turn, human cognition can be used to validate and refine the output of AI systems, as well as to provide context and interpret results. So next time you learn something new, take a moment to marvel at the incredible power of your brain and natural learning, and don't underestimate yourself! You are not a machine and you don't need to be.",21,2,en
62,Artificial neural networks vs human brain,"Criss, E. (2008). The Natural Learning Process. Music Educators Journal, 95(2), 42–46. https://doi.org/10.1177/0027432108325071",22,2,en
63,Artificial neural networks vs human brain,Brain Basics: The Life and Death of a Neuron. (2022). National Institute of Neurological Disorders and Stroke. https://www.ninds.nih.gov/health-information/public-education/brain-basics/brain-basics-life-and-death-neuron,23,2,en
64,Artificial neural networks vs human brain,"Gardner, H. (1987). The mind's new science: A history of the cognitive revolution. Basic Books.",24,2,en
65,Artificial neural networks vs human brain,"Nagyfi, R. (2018). The differences between Artificial and Biological Neural Networks. Medium. https://towardsdatascience.com/the-differences-between-artificial-and-biological-neural-networks-a8b46db828b7",25,2,en
66,Artificial neural networks vs human brain,3 types of neural networks that AI uses. (2019). Artificial Intelligence|. https://www.allerin.com/blog/3-types-of-neural-networks-that-ai-uses,26,2,en
67,Artificial neural networks vs human brain,"Thakur, A. (2021). Fundamentals of Neural Networks. International Journal for Research in Applied Science and Engineering Technology, 9(VIII), 407–426. https://doi.org/10.22214/ijraset.2021.37362",27,2,en
68,Artificial neural networks vs human brain,et al. (2015). Explaining and Harnessing Adversarial Examples. Published as a conference paper at ICLR 2015.  https://doi.org/10.48550/arXiv.1412.657,28,2,en
69,RPA Invest your time on valuable tasks,Have you ever felt trapped in your tasks? You’re into a never-ending circle where as soon as you finish daily tasks you have to start all over with them. Those repetitive but also necessary activities have taken most daily time.,0,3,en
70,RPA Invest your time on valuable tasks,Robotic process automation (RPA) is a technology that develops robots. These robots are able to emulate some human interactions with different digital systems. And so can help with those routinary activities.,1,3,en
71,RPA Invest your time on valuable tasks,"But how is it if robots are those big and heavy machines? well, here we talk about the informatics concept of software robots. They can do things like login into applications, extract information and report it. Additionally, it could be faster and has fewer errors completing the tasks.",2,3,en
72,RPA Invest your time on valuable tasks,When people think about automation usually appears an image of machines replacing humans. But nothing could be more unrealistic. The key concept of automation is to help. This rules-based technology will take and complete all those 'boring' and high-volume activities.,3,3,en
73,RPA Invest your time on valuable tasks,"So, the less you have to stay on these tasks the more time you have. It gives people the time to use their intelligence and creativity to improve their skills and feel comfortable in their works.",4,3,en
74,RPA Invest your time on valuable tasks,Having a robotic automation on the right processes could increase productivity and creativity and reduce mental stress. Now we will see a few tips to recognize those processes.,5,3,en
75,RPA Invest your time on valuable tasks,"Something to keep in mind with RPA is not all processes can be automated. And some can be but are not useful. So, how to know where it is useful? According to diverse authors there are some important aspects to be considered:",6,3,en
76,RPA Invest your time on valuable tasks,It is a rule-based process (It follows a well-defined number of steps),7,3,en
77,RPA Invest your time on valuable tasks,"It repeats at regular intervals (once a month, everyday) or has a defined trigger (every time an email arrives)",8,3,en
78,RPA Invest your time on valuable tasks,The RPA solutions will be a long-term solution (It will be executed several times),9,3,en
79,RPA Invest your time on valuable tasks,"And also, is important to identify if the original process needs a redesign. Because a human process with faults could also have an erroneous automation solution.",10,3,en
80,RPA Invest your time on valuable tasks,"In recent months, Asesoftware and Equinox AI Lab have implemented this technology in marketing and human recourses processes. This has had an impact reducing the time they spend looking for new opportunities or candidates. The automation gets and organizes the information from different sites and saves the filtered information. So, they have a punctual information to check and save time.",11,3,en
81,RPA Invest your time on valuable tasks,"As you may notice RPA is not necessary AI, it takes human process actions and completes them. But there is the concept of intelligent automation. This combines the best of both. RPA actions and AI processing information, thinking.",12,3,en
82,RPA Invest your time on valuable tasks,"This gets a new vision having characters or speech recognition and manage unstructured data. With this in mind, future use of RPA with AI could include read emails and give a specific answer related to the client petition. Or it is necessary pass this information to a person who could give a better response.",13,3,en
83,RPA Invest your time on valuable tasks,"In conclusion, RPA is a useful tool to reduce the time we spend in repetitive jobs with defined rules that can be modeled. Not all processes could be automated but the ones which can be, have a great impact on people's lives and industry productivity.",14,3,en
84,DIY People and object detection with Jetson and Python,"NVIDIA’s Jetson Nano is one of the simplest prototyping environments for computer vision projects, as it includes a Graphics Processing Unit (GPU) and is designed specifically for the implementation of basic AI applications. At Equinox we have experience with this development platform, particularly in computer vision problems such as face recognition and object detection. In this article, we will show some options for remote controlling so you can start developing right away, as well as the basic installation and configuration of a deep learning library specifically developed for the Jetson Nano.",0,4,en
85,DIY People and object detection with Jetson and Python,"NVIDIA’s Jetson Nano is one of the most straightforward prototyping environments for Computer Vision projects. It includes a Graphics Processing Unit (GPU) and is designed specifically for implementing basic AI applications. We have experience with this development platform at Equinox, particularly in Computer Vision challenges such as face recognition and object detection. In this article, we will show some options for remote controlling so you can start developing right away, as well as the basic installation and configuration of a deep learning library, developed explicitly for the Jetson Nano. (OK)",1,4,en
86,DIY People and object detection with Jetson and Python,"The control and configuration of the Jetson Nano can be done through a remote connection, using  and the VS-code  extension. In this section, we list all the steps needed to configure both tools.",2,4,en
87,DIY People and object detection with Jetson and Python,"The control and configuration of the Jetson Nano can be done through a remote connection, using  and the VS-code  extension. This section lists all the steps needed to configure both tools.",3,4,en
88,DIY People and object detection with Jetson and Python,Installation and Configuration of VNC-Viewer on the Jetson Nano and the main Windows computer,4,4,en
89,DIY People and object detection with Jetson and Python,"'yourPassword' can be replaced with any other for example, if the desired password is abc123, then the command would be:",5,4,en
90,DIY People and object detection with Jetson and Python,This output shows the different internet connections on the Jetson Nano where:,6,4,en
91,DIY People and object detection with Jetson and Python,"On VNC Viewer, go to File > New connection > General.",7,4,en
92,DIY People and object detection with Jetson and Python,"Enter the IP address of the Jetson Nano obtained in step 5, define an identifier, then click “ok”.",8,4,en
93,DIY People and object detection with Jetson and Python,"After the new connection is created, double-click it. A prompt box will appear, click “Continue” and enter the password that you defined in step 4.",9,4,en
94,DIY People and object detection with Jetson and Python,"On VS Code, go to the left sidebar, click “Extensions”, click on the search bar, and write Remote – SSH, then click “install”.",10,4,en
95,DIY People and object detection with Jetson and Python,"On VS Code, go to the left sidebar, click “Remote Explorer”, on the Extensions panel click “Add New” and write the following command:",11,4,en
96,DIY People and object detection with Jetson and Python,"For example, if the username is myjetson and IP is 192.168.101.15, then the command will be:",12,4,en
97,DIY People and object detection with Jetson and Python,"Select the SSH configuration file to update, press enter to select the first option, which should contain “user” or “home”.",13,4,en
98,DIY People and object detection with Jetson and Python,"Select Linux, and enter the password for the Jetson Nano user.",14,4,en
99,DIY People and object detection with Jetson and Python,"In order to efficiently use the Jetson Nano with a deep learning model, we need a library that offers optimized deep model implementations. One of the best options is Jetson Inference, a library that uses TensorRT to efficiently deploy neural networks using graph optimizations and kernel fusion. You can find the full installation and setup guide on their . In short, you need to have your Jetson Nano flashed with JetPack, and then run the following commands to install and build the project:",15,4,en
100,DIY People and object detection with Jetson and Python,"We need a library that offers optimised deep model implementations to use the Jetson Nano with a deep learning model efficiently. One of the best options is Jetson Inference, a library that uses TensorRT to deploy neural networks using graph optimisations and kernel fusion. You can find the complete installation and setup guide on their . In short, you need to have your Jetson Nano flashed with JetPack, and then run the following commands to install and build the project:",16,4,en
